DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	family-strip
COLOR	#ff0000
DATA
Tuber_magnatum	#ef761d	Tuberaceae
Tuber_melanosporum	#ef761d	Tuberaceae
Coniochaeta_ligniaria	#96134a	Coniochaetaceae
Coniochaeta_pulveracea	#96134a	Coniochaetaceae
Coniochaeta_sp._2T2.1	#96134a	Coniochaetaceae
Cryphonectria_parasitica	#a224ee	Cryphonectriaceae
Diaporthe_ampelina	#1aa45f	Diaporthaceae
Diaporthe_helianthi	#1aa45f	Diaporthaceae
Coniella_lustricola	#b60cf4	Schizoparmaceae
Cytospora_leucostoma	#d78f48	Valsaceae
Valsa_mali	#d78f48	Valsaceae
Valsa_malicola	#d78f48	Valsaceae
Valsa_sordida	#d78f48	Valsaceae
Colletotrichum_abscissum	#0a84d6	Glomerellaceae
Colletotrichum_asianum	#0a84d6	Glomerellaceae
Colletotrichum_chlorophyti	#0a84d6	Glomerellaceae
Colletotrichum_fioriniae	#0a84d6	Glomerellaceae
Colletotrichum_fructicola	#0a84d6	Glomerellaceae
Colletotrichum_gloeosporioides	#0a84d6	Glomerellaceae
Colletotrichum_gloeosporioides	#0a84d6	Glomerellaceae
Colletotrichum_graminicola	#0a84d6	Glomerellaceae
Colletotrichum_higginsianum	#0a84d6	Glomerellaceae
Colletotrichum_higginsianum	#0a84d6	Glomerellaceae
Colletotrichum_incanum	#0a84d6	Glomerellaceae
Colletotrichum_karsti	#0a84d6	Glomerellaceae
Colletotrichum_lupini	#0a84d6	Glomerellaceae
Colletotrichum_musicola	#0a84d6	Glomerellaceae
Colletotrichum_orbiculare	#0a84d6	Glomerellaceae
Colletotrichum_orchidophilum	#0a84d6	Glomerellaceae
Colletotrichum_plurivorum	#0a84d6	Glomerellaceae
Colletotrichum_salicis	#0a84d6	Glomerellaceae
Colletotrichum_scovillei	#0a84d6	Glomerellaceae
Colletotrichum_shisoi	#0a84d6	Glomerellaceae
Colletotrichum_sublineola	#0a84d6	Glomerellaceae
Colletotrichum_tanaceti	#0a84d6	Glomerellaceae
Colletotrichum_tofieldiae	#0a84d6	Glomerellaceae
Colletotrichum_trifolii	#0a84d6	Glomerellaceae
Plectosphaerella_cucumerina	#8eb403	Plectosphaerellaceae
Plectosphaerella_plurivora	#8eb403	Plectosphaerellaceae
Sodiomyces_alkalinus	#8eb403	Plectosphaerellaceae
Verticillium_alfalfae	#8eb403	Plectosphaerellaceae
Verticillium_dahliae	#8eb403	Plectosphaerellaceae
Verticillium_dahliae	#8eb403	Plectosphaerellaceae
Verticillium_longisporum	#8eb403	Plectosphaerellaceae
Clonostachys_rhizophaga	#8f410f	Bionectriaceae
Clonostachys_rosea	#8f410f	Bionectriaceae
Geosmithia_morbida	#8f410f	Bionectriaceae
Claviceps_africana	#ec193c	Clavicipitaceae
Claviceps_purpurea	#ec193c	Clavicipitaceae
Claviceps_pusilla	#ec193c	Clavicipitaceae
Epichloe_festucae	#ec193c	Clavicipitaceae
Metarhizium_acridum	#ec193c	Clavicipitaceae
Metarhizium_album	#ec193c	Clavicipitaceae
Metarhizium_anisopliae	#ec193c	Clavicipitaceae
Metarhizium_humberi	#ec193c	Clavicipitaceae
Metarhizium_majus	#ec193c	Clavicipitaceae
Metarhizium_rileyi	#ec193c	Clavicipitaceae
Moelleriella_libera	#ec193c	Clavicipitaceae
Pochonia_chlamydosporia	#ec193c	Clavicipitaceae
Torrubiella_hemipterigena	#ec193c	Clavicipitaceae
Ustilaginoidea_virens	#ec193c	Clavicipitaceae
Akanthomyces_lecanii	#1cdd13	Cordycipitaceae
Akanthomyces_lecanii	#1cdd13	Cordycipitaceae
Beauveria_bassiana	#1cdd13	Cordycipitaceae
Beauveria_bassiana	#1cdd13	Cordycipitaceae
Beauveria_bassiana	#1cdd13	Cordycipitaceae
Cordyceps_fumosorosea	#1cdd13	Cordycipitaceae
Cordyceps_javanica	#1cdd13	Cordycipitaceae
Cordyceps_militaris	#1cdd13	Cordycipitaceae
Cordyceps_sp._RAO-2017	#1cdd13	Cordycipitaceae
Escovopsis_weberi	#4ed3e3	Hypocreaceae
Trichoderma_arundinaceum	#4ed3e3	Hypocreaceae
Trichoderma_asperellum	#4ed3e3	Hypocreaceae
Trichoderma_asperellum	#4ed3e3	Hypocreaceae
Trichoderma_atroviride	#4ed3e3	Hypocreaceae
Trichoderma_citrinoviride	#4ed3e3	Hypocreaceae
Trichoderma_cornu-damae	#4ed3e3	Hypocreaceae
Trichoderma_gamsii	#4ed3e3	Hypocreaceae
Trichoderma_harzianum	#4ed3e3	Hypocreaceae
Trichoderma_harzianum	#4ed3e3	Hypocreaceae
Trichoderma_longibrachiatum	#4ed3e3	Hypocreaceae
Trichoderma_reesei	#4ed3e3	Hypocreaceae
Trichoderma_virens	#4ed3e3	Hypocreaceae
Acremonium_chrysogenum	#9315d0	nan
Emericellopsis_atlantica	#9315d0	nan
Emericellopsis_cladophorae	#9315d0	nan
Cylindrodendrum_hubeiense	#4d5df1	Nectriaceae
Dactylonectria_estremocensis	#4d5df1	Nectriaceae
Dactylonectria_macrodidyma	#4d5df1	Nectriaceae
Fusarium_acutatum	#4d5df1	Nectriaceae
